id,grade,Ask_For_Help,Interpretation,Self_Concept,Teacher,Test,Worth,software
3,18,1,1,1,1,1.25,1.0625,R
7,15,3.25,3.1818181818181817,2.2857142857142856,1.8,3,2.5625,R
12,18,2.5,1.8,1.5,2,2.875,2.5,R
16,17,4,3.1818181818181817,2.7142857142857144,1.2,3.142857142857143,2.8125,R
19,19,1.75,3,1.4285714285714286,1.6,2.875,1.4375,SPSS
21,15,2,2.1818181818181817,3.4285714285714284,1.2,2.75,2,SPSS
23,20,1.75,1.5454545454545454,1.8571428571428572,2,2.125,1.4375,R
24,22,1.75,2.4545454545454546,1.4285714285714286,1.2,3.125,1.375,R
26,22,1,1,1,1,1.375,1,R
29,16,1.5,2.6363636363636362,1.2857142857142858,1,2.875,1.25,SPSS
33,20,3.75,2.3636363636363638,2.4285714285714284,1.8,2.375,1.5,R
39,20,3.25,2.090909090909091,1.4285714285714286,1.8,3.5,1.0625,SPSS
41,16,3.25,3,4.428571428571429,4,3.5,3.875,R
42,19,2,1.6363636363636365,1.7142857142857142,2.6,3.625,2.125,R
43,20,3.25,2.909090909090909,1.8571428571428572,1.4,3.625,2.6875,SPSS
44,20,1.25,2.090909090909091,2.142857142857143,2,2.375,1.625,R
46,17,2.25,2.272727272727273,1.5714285714285714,1,3.125,1,R
48,18,1.5,3.090909090909091,1.2857142857142858,1.8,2.5,1.125,SPSS
49,13,3.5,3,3.857142857142857,1.4,3.25,1.75,SPSS
50,14,3.75,2.909090909090909,4.142857142857143,2,3.75,2.875,SPSS
51,17,1.5,1.1818181818181819,1.2857142857142858,1,2.375,1.25,R
52,19,2.5,2,1.4285714285714286,1.6,2.125,1.375,R
55,18,3.5,2.909090909090909,2.5714285714285716,2,3.875,1.8,R
56,21,1,1.8181818181818181,1.5714285714285714,2,1.875,1.3333333333333333,R
57,17,1.5,1.4545454545454546,1.5714285714285714,1,2.625,1,R
58,21,1,1.6363636363636365,1.1428571428571428,1.2,1.75,1.0625,R
59,22,1,1.3636363636363635,1.2857142857142858,1.4,2,1.25,R
60,18,1.5,2,1.2857142857142858,1.2,2.625,1.375,R
61,19,2,1.5,1,1.4,2.75,1,R
63,17,2.25,1.2727272727272727,2.142857142857143,1.4,3.375,1.0625,R
66,19,3,2.909090909090909,3.4285714285714284,2.2,3.5,2.0625,R
67,16,1.75,2.8181818181818183,3.142857142857143,1.2,3.75,2.7857142857142856,SPSS
68,20,2,2.1818181818181817,1.2857142857142858,1.2,3.25,1.1333333333333333,R
70,22,3,1.0909090909090908,1,1.4,3.125,1,SPSS
72,13,2.75,2.5454545454545454,2.142857142857143,2.2,3.75,1.25,SPSS
74,11,3,2.272727272727273,4.285714285714286,1.4,4,2.125,SPSS
77,17,1.25,1.6363636363636365,1,1.4,2.625,1.125,R
80,20,2.25,2.1818181818181817,1.7142857142857142,1.8,2.75,1.875,SPSS
81,16,2.5,2.909090909090909,2.3333333333333335,3,3.875,2.3125,SPSS
82,12,1,2,1.8571428571428572,1.2,2.625,1.4375,R
89,15,2.25,1.5454545454545454,1.1428571428571428,1.2,1.5,1.625,R
92,10,4.5,3.5454545454545454,4,3.2,4,2.0625,SPSS
99,19,4.25,1.9090909090909092,2.5714285714285716,2.2,3.375,1.5,R
101,18,2,2.4545454545454546,1.2857142857142858,1.4,3.125,1.0625,R
105,21,3.75,3,1.4285714285714286,2.6,3.25,1.625,SPSS
108,16,3,2.4545454545454546,1,2.4,2.75,1.25,R
109,21,1,2.272727272727273,1.2857142857142858,3,2.125,1.3125,R
115,21,3.5,2.727272727272727,2.7142857142857144,1.6,3.25,1.625,R
116,12,4.5,3.727272727272727,3.4285714285714284,2.6,4.75,1.8125,R
117,20,1.5,1.7272727272727273,2,2,1.375,1.1875,R
